EventObject_id	Name	ObjectType	Reference	ReferenceType
1105170360674	1104750515629	gopher_id	AAFB02000001	accession
1105170360675	1104750508190	gopher_id	AAFB02000002	accession
1105170360676	1104750514795	gopher_id	AAFB02000003	accession
1105170360677	1104750507028	gopher_id	AAFB02000004	accession
1105170360678	1104750512920	gopher_id	AAFB02000005	accession
1105170360679	1104750507432	gopher_id	AAFB02000006	accession
1105170360680	1104750508798	gopher_id	AAFB02000007	accession
1105170360681	1104750512822	gopher_id	AAFB02000008	accession
1105170360682	1104750506659	gopher_id	AAFB02000009	accession
1105170360683	1104750514172	gopher_id	AAFB02000010	accession
1105170360684	1104750512060	gopher_id	AAFB02000011	accession
1105170360685	1104750511174	gopher_id	AAFB02000012	accession
1105170360686	1104750515439	gopher_id	AAFB02000013	accession
1105170360687	1104750509124	gopher_id	AAFB02000014	accession
1105170360688	1104750512038	gopher_id	AAFB02000015	accession
1105170360689	1104750504645	gopher_id	AAFB02000016	accession
1105170360690	1104750508388	gopher_id	AAFB02000017	accession
1105170360691	1104750505091	gopher_id	AAFB02000018	accession
1105170360692	1104750506751	gopher_id	AAFB02000019	accession
1105170360693	1104750506333	gopher_id	AAFB02000020	accession
1105170360694	1104750513524	gopher_id	AAFB02000021	accession
1105170360695	1104750515785	gopher_id	AAFB02000022	accession
1105170360696	1104750513324	gopher_id	AAFB02000023	accession
1105170360697	1104750506167	gopher_id	AAFB02000024	accession
1105170360698	1104750508078	gopher_id	AAFB02000025	accession
1105170360699	1104750515833	gopher_id	AAFB02000026	accession
1105170360700	1104750511522	gopher_id	AAFB02000027	accession
1105170360701	1104750511518	gopher_id	AAFB02000028	accession
1105170360702	1104750505595	gopher_id	AAFB02000029	accession
1105170360703	1104750510410	gopher_id	AAFB02000030	accession
1105170360704	1104750514745	gopher_id	AAFB02000031	accession
1105170360705	1104750507148	gopher_id	AAFB02000032	accession
1105170360706	1104750511050	gopher_id	AAFB02000033	accession
1105170360707	1104750506871	gopher_id	AAFB02000034	accession
1105170360708	1104750511328	gopher_id	AAFB02000035	accession
1105170360709	1104750513262	gopher_id	AAFB02000036	accession
1105170360710	1104750506525	gopher_id	AAFB02000037	accession
1105170360711	1104750514140	gopher_id	AAFB02000038	accession
1105170360712	1104750504783	gopher_id	AAFB02000039	accession
1105170360713	1104750513570	gopher_id	AAFB02000040	accession
1105170360714	1104750513118	gopher_id	AAFB02000041	accession
